Nombre,Precio,Proveedor,MPN,EAN,Longitud,Ranuras,Conectores de 8 pines,Conectores de 6 pines,HDMI,DisplayPort,DVI,VGA,Relog de Boost,Vram,Reloj de memoria,TDP
EVGA GeForce GTX 1060 SC Gaming,$254.64 USD,EVGA,06G-P4-6163-KR,4250812415370,172.8 mm,2.0,0,1,0,0,0,MPN,1835 MHz,6 GB,4 MHz,120 W
EVGA GeForce GTX 1060 SSC DT Gaming ACX 3.0,$299.78 USD,EVGA,06G-P4-6265-KR,4250812416513,266.7 mm,2.0,1,0,0,0,0,MPN,1733 MHz,6 GB,4 MHz,120 W
EVGA GeForce GTX 1060 SSC Gaming ACX 3.0,$226.38 USD,EVGA,03G-P4-6167-KR,4250812416506,266.7 mm,2.0,1,0,0,0,0,MPN,1835 MHz,3 GB,4 MHz,120 W
EVGA GeForce GTX 1060 SSC Gaming ACX 3.0,$324.71 USD,EVGA,06G-P4-6267-KR,4250812416490,266.7 mm,2.0,1,0,0,0,0,MPN,1835 MHz,6 GB,4 MHz,120 W
EVGA GeForce GTX 1070 FTW Gaming ACX 3.0,$526.62 USD,EVGA,08G-P4-6276-KR,4250812414052,266.7 mm,2.0,2,0,0,0,0,MPN,1797 MHz,8 GB,4 MHz,150 W
EVGA GeForce GTX 1070 FTW Hybrid Gaming,$463.77 USD,EVGA,08G-P4-6278-KR,4250812415776,266.7 mm,2.0,2,0,0,0,0,MPN,1797 MHz,8 GB,4 MHz,150 W
EVGA GeForce GTX 1070 FTW2 Gaming iCX,$460.71 USD,EVGA,08G-P4-6676-KR,4250812417824,266.7 mm,2.0,2,0,0,0,0,MPN,1797 MHz,8 GB,4 MHz,150 W
EVGA GeForce GTX 1070 Gaming ACX 3.0,$447.76 USD,EVGA,08G-P4-6171-KR,4250812414083,266.7 mm,2.0,1,0,0,0,0,MPN,1683 MHz,8 GB,4 MHz,150 W
EVGA GeForce GTX 1070 Hybrid Gaming,$453.92 USD,EVGA,08G-P4-6178-KR,4250812416322,266.7 mm,2.0,1,0,0,0,0,MPN,1784 MHz,8 GB,4 MHz,150 W
EVGA GeForce GTX 1070 SC 2 Gaming iCX,$447.93 USD,EVGA,08G-P4-6573-KR,4250812417800,266.7 mm,2.0,1,0,0,0,0,MPN,1784 MHz,8 GB,4 MHz,150 W
EVGA GeForce GTX 1070 SC Gaming ACX 3.0,$427.96 USD,EVGA,08G-P4-6173-KR,4250812414076,266.7 mm,2.0,1,0,0,0,0,MPN,1784 MHz,8 GB,4 MHz,150 W
EVGA GeForce GTX 1070 SC Gaming ACX 3.0 Black Edition,$455.7 USD,EVGA,08G-P4-5173-KR,4250812415738,266.7 mm,2.0,1,0,0,0,0,MPN,1784 MHz,8 GB,4 MHz,150 W
EVGA GeForce GTX 1070 Ti FTW Ultra Silent,$504.69 USD,EVGA,08G-P4-6678-KR,4250812423498,266.7 mm,3.0,2,0,0,0,0,MPN,1683 MHz,8 GB,2 MHz,180 W
EVGA GeForce GTX 1070 Ti FTW2 Gaming iCX,$535.74 USD,EVGA,08G-P4-6775-KR,4250812423207,266.7 mm,2.0,2,0,0,0,0,MPN,1683 MHz,8 GB,2 MHz,180 W
EVGA GeForce GTX 1070 Ti Gaming,$516.79 USD,EVGA,08G-P4-5670-KR,4250812423238,266.7 mm,2.0,1,0,0,0,0,MPN,1683 MHz,8 GB,2 MHz,180 W
