Nombre,Precio,Proveedor,MPN,EAN,Enchufes compatibles,Alto,Soporte adicional para fan
"Corsair iCUE H170i ELITE CAPELLIX XT , black",$235.74 USD,Corsair,CW-9060071-WW,840006683506,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",0 mm,False
"Corsair iCUE H170i ELITE LCD XT , black",$311.17 USD,Corsair,CW-9060076-WW,840006694212,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",0 mm,False
Deepcool FROSTWIN V2.0 120mm(2pcs) Hydro,$51.58 USD,DEEPCOOL,FROSTWIN V2.0,6933412725145,"2011,1366,1156,1155,1151,1150,775, FM2+,FM2,FM1,AM3+,AM3,AM2+,AM2",151 mm,False
Deepcool GABRIEL 120mm Hydro,$38.34 USD,DEEPCOOL,GABRIEL,6933412725398,"1156,1155,1151,1150, FM2+,FM2,FM1,AM3+,AM3,AM2+,AM2,940,939,754",60 mm,False
DEEPCOOL Gamer Storm Lucifer K2 6 Heatpipes 120mm Slim and Silent PWM Fan,$48.75 USD,DEEPCOOL,LUCIFER K2,6933412725718,"2011-V3, 2011, 1366, 1155,1156,1150,1151, 775, FM1,FM2,FM2+,AM3+,AM3,AM2+,AM2",163 mm,False
DEEPCOOL GAMMAXX 200T 2 Heat pipes 120mm PWM Fan,$20.12 USD,DEEPCOOL,GAMMAXX 200T,6933412725732,"1150 , 1151 , 1155 , 1156, 775, FM2, FM1, AM4, AM3+ , AM3, AM2+, AM2, K8",132 mm,False
DEEPCOOL GAMMAXX 400 4 Heatpipes 120mm PWM Fan with Blue LED,$26.15 USD,DEEPCOOL,GAMMAXX 400,6933412708131,"2011-V3 , 2011 , 1366 , 1156 , 1155 , 1151 , 1150 , 775, AM4 , FM2+ , FM2 , FM1 , AM3+ , AM3 , AM2+ , AM2",155 mm,False
Deepcool GAMMAXX S40 120mm Hydro,$27.55 USD,DEEPCOOL,GAMMAXX S40,6933412725282,"2011, 1366, 1156 , 1155 , 1151 , 1150 , 775, FM2, FM1 , AM4 , AM3+ , AM3 , AM2+ , AM2 , 940 , 939",143 mm,False
Enermax Aquafusion,$87.05 USD,Enermax,ELC-AQF120-SQA,4713157723871,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,False
Enermax Aquafusion,$108.81 USD,Enermax,ELC-AQF240-SQA,4713157723888,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,False
ENERMAX ETS-N30R-HE 92mm,$26.88 USD,Enermax,ETS-N30R-HE,816163008445,"775 , 1150 , 1151 , 1155 , 1156 , 1366 , 2011 , 2011-V3, AM2 , AM2+ , AM3 , AM3+ , FM1 , FM2 , FM2+",138 mm,False
ENERMAX ETS-N30R-TAA 92mm,$33.83 USD,Enermax,ETS-N30R-TAA,816163008452,"775 , 1150 , 1151 , 1155 , 1156 , 1366 , 2011 , 2011-V3, AM2 , AM2+ , AM3 , AM3+ , FM1 , FM2 , FM2+",138 mm,False
